,c,k,z
145,5.276352167297546e+18,-1.1018353051469007e+19,0.0024671661526704906
146,7.540631550287741e+18,-1.574673903820776e+19,-0.0008117079790585062
147,1.0776597614089538e+19,-2.250425169525289e+19,-0.0032118273563492986
148,1.540123733158249e+19,-3.2161664909443625e+19,0.0011578260052139719
149,2.201048232826404e+19,-4.5963434099234275e+19,0.0003532607515683646
150,3.1456000702577623e+19,-6.5688056888321065e+19,-0.00217787530587277
151,4.495494307864193e+19,-9.387725052152247e+19,-0.0007149218035918314
152,6.4246784780823446e+19,-1.3416347785205347e+20,-0.0008057641909432441
153,9.181747483147169e+19,-1.9173802693797223e+20,-0.0023363668814499307
154,1.3121977563839554e+20,-2.7401996104041713e+20,-0.0035388814713479336
155,1.875310723824104e+20,-3.9161214000018135e+20,-0.005345981259642894
156,2.6800764547723054e+20,-5.5966750602121825e+20,-0.0077748008111427885
157,3.830197157289122e+20,-7.998416936100737e+20,-0.008429764155958893
158,5.4738775222560005e+20,-1.1430835772208951e+21,-0.003113583105107549
159,7.82292239751608e+20,-1.6336233469083333e+21,-0.0027060430035023707
160,1.1180029985825583e+21,-2.3346720158925586e+21,-0.004117685511361371
161,1.5977797571358595e+21,-3.3365667992609043e+21,-0.0071628606301490216
162,2.2834466057334182e+21,-4.768411978276987e+21,-0.008503923265186395
163,3.263358656253216e+21,-6.814715293460384e+21,-0.006107800258264089
164,4.663787492382503e+21,-9.739163634033054e+21,-0.005098135442464187
165,6.665192540949977e+21,-1.3918601761909882e+22,-0.0010382008292769782
166,9.525475095187225e+21,-1.9891592572658833e+22,-0.0017503558368907632
167,1.361321150613e+22,-2.842781637444897e+22,-0.0026365400463918016
168,1.945514797516645e+22,-4.0627251984347666e+22,-0.002450658645715133
169,2.7804077132363973e+22,-5.806192012986349e+22,-0.0015963624287030935
170,3.9735842984552326e+22,-8.297845422736082e+22,-0.001848601543536128
171,5.678797430234114e+22,-1.1858760183200996e+23,-0.0006753669147193237
172,8.115781076085532e+22,-1.69477961950637e+23,-0.0010887950231655596
173,1.1598565239231055e+23,-2.422072724569468e+23,-0.0005109531989651491
174,1.657594190226542e+23,-3.461474409759574e+23,-0.002243056937261431
175,2.3689296415553413e+23,-4.9469221001818587e+23,-0.0016841410414063804
176,3.385525648996485e+23,-7.069830762367954e+23,-0.0010480501911802474
177,4.8383808953007724e+23,-1.0103758659689988e+24,-0.0008663491710043632
178,6.914710480764049e+23,-1.4439658102801319e+24,-0.0003204393616978254
179,9.882070483377259e+23,-2.0636253611009473e+24,-0.0007822723058477403
180,1.4122835266943165e+24,-2.94920392204636e+24,-0.0032609467173276615
181,2.01834702871952e+24,-4.21481725208753e+24,-0.008109023719668814
182,2.8844949695590814e+24,-6.023552435861514e+24,-0.008381914126735175
183,4.122339276160165e+24,-8.608483304846184e+24,-0.00699583300840659
184,5.891388713487803e+24,-1.2302704359079182e+25,-0.007310798284161923
185,8.419603203000155e+24,-1.7582253364155224e+25,-0.005356758458997686
186,1.2032768765312472e+25,-2.512745363446948e+25,-0.004962256094031791
187,1.719647834566448e+25,-3.5910580576641005e+25,-0.0036051382584881405
188,2.4576128176367224e+25,-5.132114921435624e+25,-0.004948686493213679
189,3.512266081464907e+25,-7.334496726002482e+25,-0.006849696228699282
190,5.01951037139827e+25,-1.0482002653341389e+26,-0.009007024046317775
191,7.173569366380746e+25,-1.4980220692598167e+26,-0.006750937462072283
192,1.025201536538337e+26,-2.1408791756736603e+26,-0.007230021004574355
