,A,C,K,Y,I
235,104.9639979402409,725.0214774928279,166.1955299698383,120.47974965985331,-604.5417278329746
236,107.06327789904573,739.4154814213007,169.55968649318277,122.89809654184424,-616.5173848794565
237,109.20454345702665,754.7444319233376,172.99170541572758,125.36493485852964,-629.379497064808
238,111.38863432616718,769.945199357858,176.48972031435756,127.88053367013046,-642.0646656877275
239,113.61640701269053,784.1603700054525,180.05695972701946,130.44628329715655,-653.7140867082959
240,115.88873515294434,797.573403450741,183.69759505295013,133.06379247324156,-664.5096109774995
241,118.20650985600322,813.0373189760664,187.41676777869654,135.73489438420955,-677.3024245918568
242,120.57064005312328,825.6546830662056,191.20062323012687,138.45730930224042,-687.1973737639652
243,122.98205285418575,839.5143093005662,195.07011358908713,141.2363344828107,-698.2779748177555
244,125.44169391126948,851.4050337699622,199.01103026525573,144.06964344321472,-707.3353903267475
245,127.95052778949487,861.0758678439001,203.03305055587103,146.96011364580536,-714.1157541980948
246,130.50953834528477,869.5625513833022,207.1398173102732,149.90932686622364,-719.6532245170786
247,133.11972911219047,878.1420979350478,211.33193982816385,152.91822189382344,-725.2238760412243
248,135.7821236944343,888.4814884490073,215.61001783318116,155.98775170794656,-732.4937367410607
249,138.49776616832295,896.4093607855209,219.96576448025345,159.11695744013738,-737.2924033453835
250,141.26772149168943,907.7847512705068,224.41931040630237,162.31106426196655,-745.4736870085403
251,144.09307592152322,921.6708385388223,228.95655890188027,165.56788663685646,-756.1029519019659
252,146.9749374399537,935.7499396327996,233.5785445259982,168.88854071530403,-766.8613989174955
253,149.91443618875277,949.7408347881644,238.2924771873027,172.27549983816868,-777.4653349499957
254,152.9127249125278,962.4349229849576,243.09938605004626,175.72991455984038,-786.7050084251172
255,155.97097941077837,976.7076297186169,248.00761185223413,179.2545394709333,-797.4530902476836
256,159.09039899899395,991.5735480204837,253.01112609197978,182.84903203171342,-808.7245159887702
257,162.27220697897383,1009.6072817606648,258.1172971299398,186.51597403450785,-823.091307726157
258,165.51765111855332,1026.7209898747533,263.3174434348133,190.2544874842259,-836.4665023905274
259,168.82800414092438,1045.368915894458,268.62569335192967,194.06865915473853,-851.3002567397195
