,A,C,K,Z,Y,I
613,187027.4230774773,136262.36368735475,299644.69916764845,0.9943457041703073,214216.58156710546,77954.21787975071
614,190767.97153902685,138240.92200089208,305637.589723917,0.9980844745502195,219322.48260355796,81081.56060266588
615,194583.3309698074,140749.133064537,311750.34534048126,0.9972898770188888,223530.83335792832,82781.70029339133
616,198474.99758920353,143194.4680700428,317985.3469326632,0.9949548173342588,227467.60510828014,84273.13703823733
617,202444.49754098762,145358.22244001157,324345.0474830247,0.9946258647782561,231940.24625498024,86582.02381496868
618,206493.38749180737,147508.3266710285,330831.94665846473,0.9935812140031921,236330.5729571488,88822.2462861203
619,210623.25524164352,149540.8728201419,337448.5831988991,0.9917332624000043,240608.84409678736,91067.97127664546
620,214835.7203464764,151333.5495042872,344197.552445535,0.9932664447576713,245800.4321371729,94466.88263288571
621,219132.43475340592,153372.63046110133,351081.5067828639,0.9897453490930125,249827.66025172165,96455.02979062032
622,223515.08344847406,154915.66443375044,358103.1325445611,0.9907784318452251,255090.19457490375,100174.53014115331
623,227985.38511744354,156629.37772492808,365265.1995751824,0.994292723528808,261114.9005780818,104485.52285315373
624,232545.09281979242,158895.62601829052,372570.50965960213,0.9993569090587974,267693.72294220043,108798.0969239099
625,237195.99467618827,161974.5203230619,380021.9241025584,1.002504414639918,273907.57019682747,111933.04987376556
626,241939.91456971204,165607.0623081588,387622.3594648989,1.001972797392524,279237.56570038444,113630.50339222563
627,246778.71286110627,169235.76914733654,395374.79611839564,1.001655868199071,284732.22396180034,115496.4548144638
628,251714.28711832842,172892.01822793434,403282.28232489136,1.0038495677827375,291062.9224127076,118170.90418477324
629,256748.57286069499,176994.7238060109,411347.92154578184,1.0056857582988066,297427.22489422845,120432.50108821754
630,261883.54431790888,181509.63233897366,419574.87101276574,1.0035656731670552,302736.221298613,121226.58895963934
631,267121.21520426706,185766.90985163816,427966.3531227002,0.99892342671936,307362.5519286521,121595.64207701394
632,272463.63950835244,189288.4508817066,436525.66408628266,0.9980531414233558,313236.6624779195,123948.21159621287
633,277912.91229851946,192717.10871623465,445256.17031068495,1.001406084522104,320574.75388248457,127857.64516624992
634,283471.17054448987,196834.01793576273,454161.29245890945,1.0011837426021464,326913.64802075876,130079.63008499602
